[2026-05-01 23:33:27] [INFO] __main__: Starting training...
/media/toshimitsu/ボリューム/01_MyModels/train/trainer.py:51: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  self.scaler = GradScaler()
/media/toshimitsu/ボリューム/01_MyModels/train/trainer.py:63: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
epoch 1 step 1620 loss 0.2777
epoch 1 step 1630 loss 0.4579
epoch 1 step 1640 loss 0.4682
epoch 1 step 1650 loss 0.2593
epoch 1 step 1660 loss 0.3667
epoch 1 step 1670 loss 0.3464
epoch 1 step 1680 loss 0.2774
epoch 1 step 1690 loss 0.3362
epoch 1 step 1700 loss 0.2985
epoch 1 step 1710 loss 0.3551
epoch 1 step 1720 loss 0.2476
epoch 1 step 1730 loss 0.3315
epoch 1 step 1740 loss 0.1534
epoch 1 step 1750 loss 0.4319
epoch 1 step 1760 loss 0.3902
epoch 1 step 1770 loss 0.4613
epoch 1 step 1780 loss 0.3090
epoch 1 step 1790 loss 0.2684
epoch 1 step 1800 loss 0.2759
epoch 1 step 1810 loss 0.2967
epoch 1 step 1820 loss 0.2946
epoch 1 step 1830 loss 0.3111
epoch 1 step 1840 loss 0.4250
epoch 1 step 1850 loss 0.3021
epoch 1 step 1860 loss 0.3012
epoch 1 step 1870 loss 0.1710
epoch 1 step 1880 loss 0.4374
epoch 1 step 1890 loss 0.2892
epoch 1 step 1900 loss 0.1959
epoch 1 step 1910 loss 0.3810
epoch 1 step 1920 loss 0.4405
epoch 1 step 1930 loss 0.2944
epoch 1 step 1940 loss 0.2581
epoch 1 step 1950 loss 0.2193
epoch 1 step 1960 loss 0.1659
epoch 1 step 1970 loss 0.3557
epoch 1 step 1980 loss 0.2364
epoch 1 step 1990 loss 0.3345
epoch 1 step 2000 loss 0.1693
epoch 1 step 2010 loss 0.3318
epoch 1 step 2020 loss 0.2644
epoch 1 step 2030 loss 0.3547
epoch 1 step 2040 loss 0.3438
epoch 1 step 2050 loss 0.3042
epoch 1 step 2060 loss 0.3450
epoch 1 step 2070 loss 0.2925
epoch 1 step 2080 loss 0.2148
epoch 1 step 2090 loss 0.2574
epoch 1 step 2100 loss 0.3352
epoch 1 step 2110 loss 0.2061
epoch 1 step 2120 loss 0.2086
epoch 1 step 2130 loss 0.2346
epoch 1 step 2140 loss 0.3709
epoch 1 step 2150 loss 0.2478
epoch 1 step 2160 loss 0.3568
epoch 1 step 2170 loss 0.2705
epoch 1 step 2180 loss 0.3215
epoch 1 step 2190 loss 0.2184
epoch 1 step 2200 loss 0.2877
epoch 1 step 2210 loss 0.3412
epoch 1 step 2220 loss 0.1904
epoch 1 step 2230 loss 0.2608
epoch 1 step 2240 loss 0.2584
epoch 1 step 2250 loss 0.0804
epoch 1 step 2260 loss 0.3654
epoch 1 step 2270 loss 0.2678
epoch 1 step 2280 loss 0.3326
epoch 1 step 2290 loss 0.3349
epoch 1 step 2300 loss 0.2786
epoch 1 step 2310 loss 0.1464
epoch 1 step 2320 loss 0.2921
epoch 1 step 2330 loss 0.3503
epoch 1 step 2340 loss 0.0919
epoch 1 step 2350 loss 0.2025
epoch 1 step 2360 loss 0.2776
epoch 1 step 2370 loss 0.3325
epoch 1 step 2380 loss 0.3114
epoch 1 step 2390 loss 0.3231
epoch 1 step 2400 loss 0.2797
epoch 1 step 2410 loss 0.3449
epoch 1 step 2420 loss 0.2580
epoch 1 step 2430 loss 0.1326
epoch 1 step 2440 loss 0.2195
epoch 1 step 2450 loss 0.2236
epoch 1 step 2460 loss 0.3087
epoch 1 step 2470 loss 0.2680
epoch 1 step 2480 loss 0.1740
epoch 1 step 2490 loss 0.2540
epoch 1 step 2500 loss 0.2959
epoch 1 step 2510 loss 0.2801
epoch 1 step 2520 loss 0.3216
epoch 1 step 2530 loss 0.2332
epoch 1 step 2540 loss 0.1737
epoch 1 step 2550 loss 0.2784
epoch 1 step 2560 loss 0.3171
epoch 1 step 2570 loss 0.1311
epoch 1 step 2580 loss 0.2821
epoch 1 step 2590 loss 0.1366
epoch 1 step 2600 loss 0.2210
epoch 1 step 2610 loss 0.1973
epoch 1 step 2620 loss 0.2683
epoch 1 step 2630 loss 0.3558
epoch 1 step 2640 loss 0.2075
epoch 1 step 2650 loss 0.1460
epoch 1 step 2660 loss 0.2282
epoch 1 step 2670 loss 0.3064
epoch 1 step 2680 loss 0.2341
epoch 1 step 2690 loss 0.1936
epoch 1 step 2700 loss 0.2241
epoch 1 step 2710 loss 0.2434
epoch 1 step 2720 loss 0.3010
epoch 1 step 2730 loss 0.1922
epoch 1 step 2740 loss 0.2549
epoch 1 step 2750 loss 0.2949
epoch 1 step 2760 loss 0.2294
epoch 1 step 2770 loss 0.2673
epoch 1 step 2780 loss 0.3153
epoch 1 step 2790 loss 0.2089
epoch 1 step 2800 loss 0.2281
epoch 1 step 2810 loss 0.2878
epoch 1 step 2820 loss 0.2624
epoch 1 step 2830 loss 0.2084
epoch 1 step 2840 loss 0.2689
epoch 1 step 2850 loss 0.2839
epoch 1 step 2860 loss 0.1754
epoch 1 step 2870 loss 0.2837
epoch 1 step 2880 loss 0.1885
epoch 1 step 2890 loss 0.2339
epoch 1 step 2900 loss 0.2337
epoch 1 step 2910 loss 0.2401
epoch 1 step 2920 loss 0.2242
